source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
cmd_pose,4.6004e-05,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.000725639,1.256603393586063e-05,0.00044626253503333773,-10.20365303122219,0.00017040320043205614,0.0006729413301552507,-0.00835760598698547,0.9999648336491047,-0.0002486826724110398,0.00036677743492267853,0.12147790173194233,0.0,0.0,0.0
mpu,0.000955265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,-0.025,9.83
odom,0.051468467,2.659132004236688e-07,0.0004575725011639565,-10.195489978321547,0.00015430105401081402,0.0006593569545436658,-0.008430075541248565,0.9999642369934837,-0.0003577144560171784,0.00031813825684340953,0.1428336107608112,0.0,0.0,0.0
cmd_pose,0.09960501,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.100839365,-3.961685586281796e-05,0.00045698504738431525,-10.181543379804863,0.0001414237684545104,0.0006209270703557226,-0.008537913132439857,0.9999633485724534,-0.0008104119450762483,0.00016263682446491823,0.2210956128725145,0.0,0.0,0.0
mpu,0.101197431,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,-0.055,9.99
odom,0.150936547,-8.973959686733627e-05,0.0004474420987110876,-10.161785016474079,0.0001270539059174485,0.0005594478966626172,-0.008628317365361206,0.9999626108084234,-0.0013075477991302486,-2.6985725429348478e-05,0.3370482918039692,0.0,0.0,0.0
cmd_pose,0.199541386,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.200846843,-0.00011876049911033198,0.00043750575262641695,-10.137052962920057,0.00010955903539050448,0.00047729428632616706,-0.008694340556876217,0.9999620835958046,-0.0012722769194976349,-0.00010257202980770365,0.44490305426036236,0.0,0.0,0.0
