source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
cmd_pose,7.6214e-05,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.013708013,-0.0021495115177441845,0.010001577918676504,-9.951735705410561,-0.00836577367684467,0.00021264476746079105,-0.07413724818187649,0.9972129346558886,-0.00016899505232994397,-0.003413232397457984,0.09886450812481117,0.0,0.0,0.0
odom,0.064871471,-0.0021206179805583337,0.009896726354022818,-9.946175310940031,-0.007938965129586889,0.00020226937340406807,-0.07500398335231905,0.9971516105392684,0.0004082195614810941,-0.003626910306212409,0.10579850642371709,0.0,0.0,0.0
mpu,0.065579747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.045,0.125,9.875
cmd_pose,0.099428539,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.113697709,-0.0017647043489894942,0.009700349232791953,-9.938225695346143,-0.007366435303476206,0.00018313124072839978,-0.07469044643877218,0.9971795421611122,0.004359167746375603,-0.0045101703166849725,0.13504290220312767,0.0,0.0,0.0
odom,0.165766479,-0.0010868102802046985,0.009401988962089942,-9.928000644910016,-0.0066381523672383765,0.00014671539034755697,-0.07304131484801761,0.9973068132390435,0.011088246060153472,-0.005985437867492332,0.18167137200678668,0.0,0.0,0.0
mpu,0.166885081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.035,0.075,10.045
cmd_pose,0.199393175,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.21470085,-0.0001861180860889842,0.008999503123405587,-9.915452037920444,-0.005742094465067033,8.736502362002552e-05,-0.07010334532794599,0.9975232035859304,0.016784646567800807,-0.007600641474656905,0.22764634738737413,0.0,0.0,0.0
odom,0.26455066,0.0008822591377872247,0.00849210170364019,-9.900845200494446,-0.0046985993477097554,2.567046450577018e-06,-0.06596965149025201,0.9978105673121701,0.020930027614712104,-0.009306512880340978,0.27145492352200107,0.0,0.0,0.0
mpu,0.264996343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,0.01,9.995000000000001
cmd_pose,0.299403456,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.315083311,0.0019460926936310354,0.007893593491133334,-9.884002728351899,-0.0035642277928955575,-0.00010840689015078493,-0.060669480609145045,0.9981515409249254,0.022771792701101613,-0.01102513357608328,0.3143926278621062,0.0,0.0,0.0
odom,0.365218392,0.002959293783588601,0.007199661583136097,-9.865191889672372,-0.002367645480017631,-0.00024384093400657423,-0.05431182663772339,0.998521186697485,0.02239682955760211,-0.012752538874776653,0.3564408095120828,0.0,0.0,0.0
mpu,0.365833603,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.005,-0.08,9.935
cmd_pose,0.399184762,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.415664745,0.0037847629656741636,0.006417124827123295,-9.84421218780153,-0.0011939478498640748,-0.0004004554718921671,-0.04686469554538895,0.998900452715577,0.020154815065068072,-0.014448487303046837,0.3978310566759469,0.0,0.0,0.0
odom,0.465335495,0.004406255232926814,0.005543208477611025,-9.821353158477372,-6.223283623137391e-05,-0.000574197219440961,-0.03844614717971144,0.9992605066706396,0.016332559752418225,-0.01605007612013274,0.4383406458929871,0.0,0.0,0.0
mpu,0.465626399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.03,-0.105,9.815
cmd_pose,0.499099458,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.516152559,0.0047767242445063895,0.004606185343987962,-9.796379362546194,0.0009595973969517176,-0.0007617452107120539,-0.02898898984813503,0.9995789800634337,0.011808460357665316,-0.017213222992465717,0.47831758031639937,0.0,0.0,0.0
odom,0.56570554,0.004910897572797298,0.003609558748699795,-9.769609702178789,0.0018663162034267408,-0.0009579283641208301,-0.01862377081216781,0.9998243617745138,0.006892644329025343,-0.017875397417253504,0.5174649478091947,0.0,0.0,0.0
mpu,0.566191015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.09,-0.045,9.725
cmd_pose,0.598992412,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.616531467,0.004854324337097375,0.0026066946932540593,-9.74076766779866,0.0026073756862224668,-0.0011610117941579878,-0.007258538946858645,0.9999695831654088,0.0025280258958944586,-0.017752223332778393,0.556186558052489,0.0,0.0,0.0
odom,0.666726387,0.004640146548450113,0.0016006019489099065,-9.710208643910097,0.0032169335125517575,-0.0013684681161072305,0.004596514018713507,0.999983325207309,-0.001072658857147544,-0.01692240732337135,0.59411342290773,0.0,0.0,0.0
mpu,0.668196585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08,-0.035,9.525
cmd_pose,0.699255292,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.716466387,0.004374229008863778,0.0006219821549863575,-9.677609361126674,0.0037812756636799497,-0.0015672235479313769,0.015082613659573875,0.9998778728074255,-0.003228964315810208,-0.015649670202975755,0.6317099982683725,0.0,0.0,0.0
odom,0.766512601,0.0040931872488816,-0.0003221530215201446,-9.643369629246202,0.004282270401927762,-0.0017535865201979057,0.024293895696485282,0.9996941500911213,-0.0038649614609630096,-0.01395271745869848,0.6685314476356317,0.0,0.0,0.0
mpu,0.766975005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.015,0.05,9.26
cmd_pose,0.799342729,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,0.817378804,0.003906368385471471,-0.0012109169588868274,-9.607112368054622,0.0046600143408721175,-0.0019315143051157118,0.03255409082765912,0.9994572450531422,-0.002928140954256791,-0.012066412464786663,0.7051136191573437,0.0,0.0,0.0
odom,0.867953216,0.0038331357395305233,-0.0020300317609119167,-9.569321805643668,0.004909568983146145,-0.002106535499680371,0.03998280107998971,0.999186085901113,-0.0006018924854147791,-0.010058652416700443,0.7406106489458324,0.0,0.0,0.0
mpu,0.869177354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.055,0.125,9.065
cmd_pose,0.899559937,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
