source,time_since_cmd,x,y,z
cmd_pose,4.7281e-05,20.0,0.0,0.0
cmd_pose,0.001166258,20.0,0.0,0.0
cmd_pose,0.002958429,20.0,0.0,0.0
cmd_pose,0.006343504,20.0,0.0,0.0
cmd_pose,0.009767928,20.0,0.0,0.0
cmd_pose,0.012876505,20.0,0.0,0.0
cmd_pose,0.015926763,20.0,0.0,0.0
odom,0.024806333,1.0062149773991595,-0.005109255552940631,-0.0700625703327358
odom,0.074857324,1.007404911366149,-0.0060922695722661485,-0.07536388704762995
cmd_pose,0.107416748,20.0,0.0,0.0
odom,0.125018039,1.0087176954648707,-0.007178915714722837,-0.08083918524653738
odom,0.175074084,1.0101648866024682,-0.008375835993620398,-0.08657602969384766
cmd_pose,0.207874581,20.0,0.0,0.0
odom,0.225715066,1.0117447259081083,-0.009684392181109698,-0.09249262321192747
odom,0.276346132,1.0134691470015005,-0.01111128375954639,-0.0986509289178731
cmd_pose,0.308368342,20.0,0.0,0.0
odom,0.326076638,1.0153359747280732,-0.012657676438216983,-0.10499089337101163
odom,0.376099021,1.017357518341956,-0.014330332715073415,-0.11155626547040523
cmd_pose,0.407347023,20.0,0.0,0.0
odom,0.426877187,1.0195311795616855,-0.016130200674039707,-0.11830255024881539
odom,0.476667689,1.0218696451967444,-0.018064109482114996,-0.125260478915504
cmd_pose,0.507274031,20.0,0.0,0.0
odom,0.526891493,1.0243698857631716,-0.020132767440891243,-0.13239675377676505
odom,0.577188857,1.0270449700419362,-0.022343071971939247,-0.13973276165113974
cmd_pose,0.608194012,20.0,0.0,0.0
odom,0.627221026,1.0298914286247742,-0.02469546862679819,-0.14724331251256156
odom,0.677663333,1.0329227187783647,-0.027196922524726157,-0.15494305790116802
cmd_pose,0.707565697,20.0,0.0,0.0
odom,0.727675135,1.0361349223090461,-0.029847592450172343,-0.16281271641830886
odom,0.777970886,1.039541893217814,-0.03265450848701475,-0.17086206643860063
cmd_pose,0.807320131,20.0,0.0,0.0
odom,0.827933885,1.0431392559678525,-0.035617517386434115,-0.17907616263652035
odom,0.879767693,1.046941270927726,-0.03874370925897336,-0.18746124556227695
cmd_pose,0.908145615,20.0,0.0,0.0
odom,0.928756986,1.0509430898845173,-0.04203237482065415,-0.19600557409451527
odom,0.979055749,1.055159266419141,-0.04548880942266695,-0.20471274123642805
cmd_pose,1.00820431,20.0,0.0,0.0
odom,1.029060129,1.059584439374378,-0.049111965918700796,-0.21357324498218488
odom,1.079660055,1.0642336961310528,-0.05290768697793994,-0.22258862675321012
cmd_pose,1.108096034,20.0,0.0,0.0
odom,1.130395681,1.0691012432233111,-0.056875064348795766,-0.23175100250787825
odom,1.180014223,1.0742025958949732,-0.0610201881465039,-0.2410603348715171
cmd_pose,1.207651124,20.0,0.0,0.0
odom,1.229871179,1.0795354979676488,-0.06534371408516741,-0.250510937064822
odom,1.280510508,1.0851164068412638,-0.06985274762859647,-0.2601022990079622
